City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA PASSAROS E FLORES, 538",6734,6734,b5kx1wwdleec,avalinia76,2023-03-22T09:25:41.000Z,,,,,"81,45",No boost,41323629717793,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA VIEIRA DA SILVA, 110B",6734,6734,atk4gfdztbhy,fplusf,2023-02-23T17:05:18.500Z,,,,,"81,45",No boost,41323529054359,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA CARLOS BUZZI, 62",6734,9099,cjt2tzzgynah,zameere,2023-04-04T12:05:30.000Z,,,,,"81,45",No boost,41323495500004,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 173",6734,9495,ony5b2mvi4lf,valdiner,2023-02-24T12:08:14.500Z,,,,,"81,45",No boost,41323394836784,,
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA JATAITUBA, 220B",6734,9000,ey5a4g3m5moy,jjsparroww,2023-03-18T16:28:00.000Z,,,,,"81,45",No boost,41323310950712,,
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 185",6734,6734,lw3nh3nsclko,zumbizeratv,2023-02-23T17:09:37.500Z,UPX,138,,,"81,45",No boost,41323294173485,9300,"357,6923077"
Sao Paulo,For sale,FALSE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 201",6734,4000,q4y13b4sux1d,omartugy,2023-03-01T23:05:06.000Z,UPX,1311,,,"81,45",No boost,41323243841835,88259,"3394,576923"
Sao Paulo,Owned,TRUE,ITAIM BIBI,26,[],"RUA TESSATUNGA, 52B",6734,6666,i2ay2lxbxiou,sebob1984,2023-04-12T14:18:13.500Z,,,,,"81,45",No boost,41323210287412,,
Sao Paulo,For sale,TRUE,ITAIM BIBI,26,[],"RUA SANTO ARCADIO, 205",6734,6734,hqq1dmegahjr,shonga,2023-04-03T09:14:54.500Z,UPX,193,,,"81,45",No boost,41323193510186,13000,500
Sao Paulo,Owned,FALSE,ITAIM BIBI,26,[],"RUA TESSATUNGA, 52C",6734,6734,jarumyht3hnf,entourag3,2023-02-23T17:08:21.000Z,,,,,"81,45",No boost,41323176732977,,
